Age,City,Amount,Gender,STATE,Country,TRANSACTION_ID,age_category
69,,NULL,Male,"No State",USA,NULL,60
63,"231 Roc             ",300,Female,"No State",TW,990,60
74,Addison,25,Male,Illinois,USA,1102,70
84,Alameda,NULL,Female,"New Mexico",USA,NULL,80
57,Albion,NULL,Male,Illinois,USA,NULL,50
40,Albuquerque,NULL,Female,"New Mexico",USA,NULL,40
51,"Alexandria          ",NULL,Female,Virginia,USA,NULL,50
60,Algonquin,NULL,Female,Illinois,USA,NULL,60
47,Altamont,25,Female,Illinois,USA,5212,40
63,Alton,25,Female,Illinois,USA,3037,60
64,Ames,NULL,Female,Iowa,USA,NULL,60
60,Amherst,25,Female,Ohio,USA,1759,60
62,Andover,NULL,Female,Massachusetts,USA,NULL,60
65,"Angel Fire",25,Male,"New Mexico",USA,6119,60
69,"Ann Arbor",100,Female,Michigan,USA,1755,60
72,Anna,NULL,Female,Illinois,USA,NULL,70
66,Annandale,50,Male,Virginia,USA,7462,60
65,Annawan,20,Female,Illinois,USA,4834,60
0,Antigo,25,Female,Wisconsin,USA,4595,NULL
53,Apex,25,Male,"North Carolina",USA,3311,50
68,APO,NULL,Male,"Armed Forces Europe/Canada/Middle East/Africa",USA,NULL,60
68,Arcola,NULL,Female,Illinois,USA,NULL,60
64,Arlington,NULL,Female,Virginia,USA,NULL,60
24,"Arlington Heights",NULL,Female,Illinois,USA,NULL,20
24,"Arlington Hts",NULL,Female,Illinois,USA,NULL,20
65,Arvada,NULL,Male,Colorado,USA,NULL,60
50,Asheville,NULL,Female,"North Carolina",USA,NULL,50
81,Ashland,NULL,Male,Missouri,USA,NULL,80
48,Ashton,NULL,Female,Maryland,USA,NULL,40
65,Aspen,NULL,Female,Colorado,USA,NULL,60
0,Athens,NULL,Female,Georgia,USA,NULL,NULL
61,Atlanta,NULL,Female,Georgia,USA,NULL,60
52,Auburn,NULL,Female,Illinois,USA,NULL,50
74,Aurora,NULL,Female,Colorado,USA,NULL,70
84,Austin,NULL,Male,Texas,USA,NULL,80
66,Avondale,NULL,Female,Arizona,USA,NULL,60
60,Baileyville,NULL,Female,Illinois,USA,NULL,60
55,"Bainbridge Island",NULL,Female,Washington,USA,NULL,50
63,Bakersville,30,Female,"North Carolina",USA,284,60
62,Ballwin,50,Female,Missouri,USA,10047,60
71,Baltimore,NULL,Female,Maryland,USA,NULL,70
66,Barrington,NULL,Female,Illinois,USA,NULL,60
49,Bartlett,5,Female,Illinois,USA,218,40
69,Bartonville,NULL,Female,Illinois,USA,NULL,60
42,Bastrop,NULL,Female,Texas,USA,NULL,40
